"","FAO_name","exclude","Taxon_code","family","notes","notes_2"
"76","Fluted giant clam",0,"BI","Cardiidae",NA,NA
"77","Gasar cupped oyster",0,"BI","Ostreidae",NA,NA
"78","Gastropods nei",0,"GAST","Gastropoda",NA,NA
"79","Giant clam",0,"BI","Cardiidae",NA,NA
"80","Giant clams nei",0,"BI","Cardiidae",NA,NA
"81","Globose clam",0,"BI","Cardiidae",NA,NA
"82","Golden carpet shell",0,"BI","Veneridae",NA,NA
"83","Grand ark",0,"BI","Arcidae",NA,NA
"84","Great Atlantic scallop",0,"BI","Pectinidae",NA,NA
"85","Green mussel",0,"BI","Mytilidae",NA,NA
"86","Grooved carpet shell",0,"BI","Veneridae",NA,NA
"87","Hooded oyster",0,"BI","Ostreidae",NA,NA
"88","Horned turban",0,"GAST","Turbinidae",NA,NA
"89","Horse mussels nei",0,"BI","Mytilidae",NA,NA
"90","Indian backwater oyster",0,"BI","Ostreidae",NA,NA
"91","Inflated ark",0,"BI","Arcidae",NA,NA
"92","Half-crenated ark",0,"BI","Arcidae",NA,NA
"93","Japanese abalone",0,"GAST","Haliotidae",NA,NA
"94","Japanese carpet shell",0,"BI","Veneridae",NA,NA
"95","Japanese hard clam",0,"BI","Veneridae",NA,NA
"96","Korean mussel",0,"BI","Mytilidae",NA,NA
"97","Mangrove cupped oyster",0,"BI","Ostreidae",NA,NA
"98","Mediterranean mussel",0,"BI","Mytilidae",NA,NA
"99","New Zealand mussel",0,"BI","Mytilidae",NA,NA
"100","Northern quahog(=Hard clam)",0,"BI","Veneridae",NA,NA
"101","Olympia oyster",0,"BI","Ostreidae",NA,NA
"102","Oriental cyclina",1,"BI","Veneridae",NA,NA
"103","Pacific calico scallop",0,"BI","Pectinidae",NA,NA
"104","Pacific cupped oyster",0,"BI","Ostreidae",NA,NA
"105","Pacific geoduck",0,"BI","Hiatellidae",NA,NA
"106","Pacific horse clam",0,"BI","Mactridae",NA,NA
"107","Pacific lion's paw",0,"BI","Pectinidae",NA,NA
"108","Lion's paw",0,"BI","Pectinidae","already present as Pacific lion's paw which is included",NA
"109","Pacific littleneck clam",0,"BI","Veneridae",NA,NA
"110","Pearl oyster shells nei",0,"BI","Pteriidae",NA,NA
"111","Pen shells nei",0,"BI","Pinnidae",NA,NA
"112","Penguin wing oyster",0,"BI","Pteriidae",NA,NA
"113","Peppery furrow",0,"BI","Semelidae",NA,NA
"114","Periwinkles nei",0,"GAST","Littorinidae",NA,NA
"115","Perlemoen abalone",0,"GAST","Haliotidae",NA,NA
"116","Peruvian calico scallop",0,"BI","Pectinidae",NA,NA
"117","Pod razor shell",0,"BI","Pharidae",NA,NA
"118","Pullet carpet shell",0,"BI","Veneridae",NA,NA
"119","Queen conch",0,"GAST","Strombidae",NA,NA
"120","Queen scallop",0,"BI","Pectinidae",NA,NA
"121","Red abalone",0,"GAST","Haliotidae",NA,NA
"122","River Plata mussel",1,"BI","Mytilidae",NA,NA
"123","Rooster venus",0,"BI","Veneridae",NA,NA
"124","Sand gaper",0,"BI","Myidae",NA,NA
"125","Scallops nei",0,"BI","Pectinidae",NA,NA
"126","Sea mussels nei",0,"BI","Mytilidae",NA,NA
"127","Sea snails",0,"GAST","Liparidae",NA,NA
"128","Slipper cupped oyster",0,"BI","Ostreidae",NA,NA
"129","Smooth giant clam",0,"BI","Cardiidae",NA,NA
"130","Smooth mactra",0,"BI","Mactridae",NA,NA
"131","Solen razor clams nei",0,"BI","Soleidae",NA,NA
"132","South American rock mussel",0,"BI","Mytilidae",NA,NA
"133","Southern Australia scallop",0,"BI","Pectinidae",NA,NA
"134","Striped venus",0,"BI","Veneridae",NA,NA
"135","Stromboid conchs nei",0,"GAST","Strombidae",NA,NA
"136","Sydney cupped oyster",0,"BI","Ostreidae",NA,NA
"137","Tuberculate abalone",0,"GAST","Haliotidae",NA,NA
"138","Variegated scallop",0,"BI","Pectinidae",NA,NA
"139","Venus clams nei",0,"BI","Veneridae",NA,NA
"140","Warty venus",0,"BI","Veneridae",NA,NA
"141","Yesso scallop",0,"BI","Pectinidae",NA,NA
"142","Great Mediterranean scallop",0,"BI","Pectinidae",NA,NA
"143","Pacific asaphis",0,"BI","Veneridae",NA,NA
"144","Rough turban",0,"GAST","Turbinidae",NA,NA
"145","Broad geloina",0,"BI","Arcidae",NA,NA
"146","Rainbow abalone",0,"GAST","Haliotidae",NA,NA
"147","Olive green cockle",0,"BI","Cardiidae",NA,NA
"148","Common cuttlefish",0,"CEPH","Sepiidae",NA,NA
"149","Octopuses nei",0,"CEPH","Octopodidae",NA,NA
"150","Octopuses, etc. nei",0,"CEPH","Octopodidae",NA,NA
"151","Blue crab",0,"CRUST","Portunidae",NA,NA
"152","Blue swimming crab",0,"CRUST","Portunidae",NA,NA
"153","Callinectes swimcrabs nei",0,"CRUST","Portunidae",NA,NA
"154","Flathead lobster",0,"CRUST","Scyllaridae",NA,NA
"155","Gazami crab",0,"CRUST","Portunidae",NA,NA
"156","Green crab",0,"CRUST","Portunidae",NA,NA
"157","Indo-Pacific swamp crab",0,"CRUST","Portunidae",NA,NA
"158","Japanese spiny lobster",0,"CRUST","Palinuridae",NA,NA
"159","Marine crabs nei",0,"CRUST","Portunidae",NA,NA
"160","Marine crustaceans nei",0,"CRUST","Crustaceans",NA,NA
"161","Mud spiny lobster",0,"CRUST","Palinuridae",NA,NA
"162","Natantian decapods nei",0,"CRUST","Sergestidae",NA,NA
"163","Orange mud crab",0,"CRUST","Portunidae",NA,NA
"164","Palinurid spiny lobsters nei",0,"CRUST","Palinuridae",NA,NA
"165","Portunus swimcrabs nei",0,"CRUST","Portunidae",NA,NA
"166","Spinous spider crab",0,"CRUST","Portunidae",NA,NA
"167","Spiny lobsters nei",0,"CRUST","Palinuridae",NA,NA
"168","Swimming crabs, etc. nei",0,"CRUST","Portunidae",NA,NA
"169","Tropical spiny lobsters nei",0,"CRUST","Palinuridae",NA,NA
"170","Mediterranean shore crab",0,"CRUST","Portunidae",NA,NA
"171","Caribbean spiny lobster",0,"CRUST","Palinuridae",NA,NA
"172","Green mud crab",0,"CRUST","Portunidae",NA,NA
"173","[Boleophthalmus pectinirostris]",1,"F","Gobiidae",NA,NA
"174","[Solea spp]",0,"F","Soleidae",NA,NA
"175","Amberjacks nei",0,"F","Carangidae",NA,NA
"176","Arctic char",0,"F","Salmonidae",NA,NA
"177","Areolate grouper",0,"F","Serranidae",NA,NA
"178","Atipa",1,"F","Eusiridae",NA,NA
"179","Atlantic bluefin tuna",0,"F","Scombridae",NA,NA
"180","Atlantic cod",0,"F","Gadidae",NA,NA
"181","Atlantic halibut",0,"F","Pleuronectidae",NA,NA
"182","Atlantic salmon",0,"F","Salmonidae",NA,NA
"183","Atlantic spadefish",1,"F","Ephippidae",NA,NA
"184","Atlantic wolffish",0,"F","Anarhichadidae",NA,NA
"185","Bagrid catfish",1,"F","Bagridae","freshwater",NA
"186","North African catfish",1,"F","Clariidae","freshwater",NA
"187","Ballan wrasse",0,"F","Labridae",NA,NA
"188","Barramundi(=Giant seaperch)",0,"F","Latidae",NA,NA
"189","Bastard halibut",0,"F","Paralichthyidae",NA,NA
"190","Bastard halibuts nei",0,"F","Paralichthyidae",NA,NA
"191","Big-scale sand smelt",0,"F","Atherinidae",NA,NA
"192","Bigeye trevally",0,"F","Carangidae",NA,NA
"193","Bighead carp",1,"F","Cyprinidae","freshwater",NA
"194","Black bullhead",1,"F","Ictaluridae","freshwater",NA
"195","Black catfishes nei",1,"F","Ictaluridae","freshwater",NA
"196","Black grouper",0,"F","Serranidae",NA,NA
"197","Black seabass",0,"F","Serranidae",NA,NA
"198","Blackchin tilapia",1,"F","Cichlidae",NA,NA
"199","Blackhead seabream",0,"F","Sparidae",NA,NA
"200","Blackspot(=red) seabream",0,"F","Sparidae",NA,NA
"201","Blackspot seabream",0,"F","Sparidae","already present as Blackspot(=red) seabream which is included",NA
"202","Twobar seabream",0,"F","Sparidae",NA,NA
"203","Blue tilapia",1,"F","Cichlidae",NA,NA
"204","Bluefish",0,"F","Kyphosidae",NA,NA
"205","Bluegill",1,"F","Centrarchidae",NA,NA
"206","Bluespot mullet",0,"F","Mugilidae",NA,NA
"207","Brill",0,"F","Amaryllidaceae",NA,NA
"208","Brown meagre",0,"F","Sciaenidae",NA,NA
"209","Brown-marbled grouper",0,"F","Serranidae",NA,NA
"210","Chars nei",0,"F","Delphacidae",NA,NA
"211","Chinook(=Spring=King) salmon",0,"F","Salmonidae",NA,NA
"212","Pink(=Humpback) salmon",0,"F","Salmonidae",NA,NA
"213","Chum(=Keta=Dog) salmon",0,"F","Salmonidae",NA,NA
"214","Cobia",0,"F","Curculionidae",NA,NA
"215","Coho(=Silver) salmon",0,"F","Salmonidae",NA,NA
"216","Common carp",1,"F","Poaceae",NA,NA
"217","Common dentex",0,"F","Sparidae",NA,NA
"218","Common pandora",0,"F","Sparidae",NA,NA
"219","Common snook",0,"F","Centropomidae",NA,NA
"220","Common sole",0,"F","Soleidae",NA,NA
"221","Common two-banded seabream",0,"F","Sparidae",NA,NA
"222","Crevalle jack",0,"F","Carangidae",NA,NA
"223","Crimson seabream",0,"F","Sparidae",NA,NA
"224","Red seabream",0,"F","Sparidae","already present as Crimson seabream which is included, included",NA
"225","Croakers, drums nei",0,"F","Sciaenidae",NA,NA
"226","Corvina drum",0,"F","Sciaenidae","already present as other drum species and other similar fish which are included, included",NA
"227","Cyprinids nei",1,"F","Cyprinidae",NA,NA
"228","Daggertooth pike conger",0,"F","Muraenesocidae",NA,NA
"229","Dotted gizzard shad",0,"F","Clupeidae",NA,NA
"230","Drums nei",0,"F","Sciaenidae",NA,NA
"231","European eel",0,"F","Anguillidae",NA,NA
"232","European flounder",0,"F","Pleuronectidae",NA,NA
"233","European seabass",0,"F","Moronidae",NA,NA
"234","European whitefish",0,"F","Salmonidae",NA,NA
"235","Filefishes nei",0,"F","Monacanthidae",NA,NA
"236","Filefishes, leatherjackets nei",0,"F","Monacanthidae",NA,NA
"237","Finfishes nei",0,"F","Chaunacidae",NA,NA
"238","Flatfishes nei",0,"F","Citharidae",NA,NA
"239","Flathead grey mullet",0,"F","Mugilidae",NA,NA
"240","Florida pompano",0,"F","Carangidae",NA,NA
"241","Fourfinger threadfin",0,"F","Polynemidae",NA,NA
"242","Freshwater fishes nei",1,"F","Fish","freshwater",NA
"243","Freshwater siluroids nei",1,"F","Siluridae","freshwater",NA
"244","Giant grouper",0,"F","Serranidae",NA,NA
"245","Tiger-dragon grouper, hybrid",0,"F","Serranidae",NA,NA
"246","Gilthead seabream",0,"F","Sparidae",NA,NA
"247","Gobies nei",0,"F","Gobiidae",NA,NA
"248","Golden trevally",0,"F","Carangidae",NA,NA
"249","Goldlined seabream",0,"F","Sparidae",NA,NA
"250","Goldsilk seabream",0,"F","Sparidae",NA,NA
"251","Grass carp(=White amur)",1,"F","Cyprinidae",NA,NA
"252","Greasy grouper",0,"F","Serranidae",NA,NA
"253","Great blue spotted mudskipper",1,"F","Gobiidae","freshwater",NA
"254","Greater amberjack",0,"F","Carangidae",NA,NA
"255","Green humphead parrotfish",0,"F","Scaridae",NA,NA
"256","Groundfishes nei",0,"F","Fish",NA,NA
"257","Groupers nei",0,"F","Serranidae",NA,NA
"258","Groupers, seabasses nei",0,"F","Serranidae",NA,NA
"259","Gudgeons, sleepers nei",0,"F","Ptereleotridae",NA,NA
"260","Haddock",0,"F","Rutaceae",NA,NA
"261","Hong Kong grouper",0,"F","Serranidae",NA,NA
"262","Humpback grouper",0,"F","Serranidae",NA,NA
"263","Indonesian snakehead",0,"F","Channidae",NA,NA
"264","Jacks, crevalles nei",0,"F","Carangidae",NA,NA
"265","Japanese amberjack",0,"F","Carangidae",NA,NA
"266","Japanese eel",0,"F","Anguillidae",NA,NA
"267","Japanese jack mackerel",0,"F","Carangidae",NA,NA
"268","Japanese meagre",0,"F","Sciaenidae",NA,NA
"269","Japanese seabass",0,"F","Lateolabracidae",NA,NA
"270","Japanese seabream",0,"F","Sparidae",NA,NA
"271","John's snapper",0,"F","Lutjanidae",NA,NA
"272","Korean rockfish",0,"F","Sebastidae",NA,NA
"273","Large yellow croaker",0,"F","Sciaenidae",NA,NA
"274","Largemouth black bass",0,"F","Centrarchidae",NA,NA
"275","Lebranche mullet",0,"F","Mugilidae",NA,NA
"276","Lefteye flounders nei",0,"F","Bothidae",NA,NA
"277","Longfin yellowtail",0,"F","Carangidae",NA,NA
"278","Mackerels nei",0,"F","Scombridae",NA,NA
"279","Malabar grouper",0,"F","Serranidae",NA,NA
"280","Malabar trevally",0,"F","Carangidae",NA,NA
"281","Mangrove red snapper",0,"F","Lutjanidae",NA,NA
"282","Marble goby",0,"F","Butidae",NA,NA
"283","Marbled spinefoot",0,"F","Siganidae",NA,NA
"284","Marine fishes nei",0,"F","Fish",NA,NA
"285","Masu(=Cherry) salmon",0,"F","Salmonidae",NA,NA
"286","Meagre",0,"F","Sciaenidae",NA,NA
"287","Metapenaeus shrimps nei",0,"F","Penaeidae",NA,NA
"288","Mi-iuy (brown) croaker",0,"F","Sciaenidae",NA,NA
"289","Milkfish",0,"F","Chanidae",NA,NA
"290","Mojarras(=Silver-biddies) nei",0,"F","Cichlidae",NA,NA
"291","Mozambique tilapia",1,"F","Cichlidae",NA,NA
"292","Mullets nei",0,"F","Apogonidae",NA,NA
"293","[Mugil spp]",0,"F","Mugilidae",NA,NA
"294","Nile perch",1,"F","Centropomidae",NA,NA
"295","Nile tilapia",1,"F","Cichlidae",NA,NA
"296","Okhotsk atka mackerel",0,"F","Hexagrammidae",NA,NA
"297","Orange-spotted grouper",0,"F","Serranidae",NA,NA
"298","Orbicular batfish",1,"F","Ephippidae",NA,NA
"299","Pacific bluefin tuna",0,"F","Scombridae",NA,NA
"300","Pangas catfishes nei",1,"F","Pangasiidae","freshwater",NA
"301","Papuan black snapper",0,"F","Lutjanidae",NA,NA
"302","Pargo breams nei",0,"F","Sparidae",NA,NA
"303","Percoids nei",0,"F","Percoidea",NA,NA
"304","Pollack",0,"F","Gadidae",NA,NA
"305","Pompano",0,"F","Carangidae",NA,NA
"306","Pompanos nei",0,"F","Carangidae",NA,NA
"307","Porgies, seabreams nei",0,"F","Sparidae",NA,NA
"308","Rainbow trout",0,"F","Salmonidae",NA,NA
"309","Red drum",0,"F","Sciaenidae",NA,NA
"310","Red porgy",0,"F","Sparidae",NA,NA
"311","Red swamp crawfish",1,"F","Cambaridae","freshwater",NA
"312","Righteye flounders nei",0,"F","Pleuronectidae",NA,NA
"313","River eels nei",1,"F","Anguillidae","freshwater",NA
"314","Russell's snapper",0,"F","Lutjanidae",NA,NA
"315","Sabaki tilapia",1,"F","Cichlidae",NA,NA
"316","Salmonids nei",0,"F","Salmonidae",NA,NA
"317","Salmonoids nei",0,"F","Salmonidae",NA,NA
"318","Sargo breams nei",0,"F","Sparidae",NA,NA
"319","Scats",0,"F","Rhinoprenidae",NA,NA
"320","Sciaenas nei",0,"F","Sciaenidae",NA,NA
"321","Scorpionfishes, redfishes nei",0,"F","Scorpaenidae",NA,NA
"322","Gulf snailfish",0,"F","Liparidae",NA,NA
"323","Sea trout",0,"F","Sciaenidae",NA,NA
"324","Seabasses nei",0,"F","Serranidae",NA,NA
"325","Senegalese sole",0,"F","Soleidae",NA,NA
"326","Sharpsnout seabream",0,"F","Sparidae",NA,NA
"327","Shi drum",0,"F","Sciaenidae",NA,NA
"328","Short-finned eel",1,"F","Anguillidae",NA,NA
"329","Silver barb",1,"F","Cyprinidae",NA,NA
"330","Silver carp",1,"F","Cyprinidae","freshwater",NA
"331","Silver seabream",1,"F","Sparidae",NA,NA
"332","Silversides(=Sand smelts) nei",1,"F","Atherinidae",NA,NA
"333","Sixfinger threadfin",0,"F","Polynemidae",NA,NA
"334","Snappers nei",0,"F","Lutjanidae",NA,NA
"335","Snappers, jobfishes nei",0,"F","Lutjanidae",NA,NA
"336","Snooks(=Robalos) nei",0,"F","Centropomidae",NA,NA
"337","Snubnose pompano",0,"F","Carangidae",NA,NA
"338","So-iuy mullet",0,"F","Mugilidae",NA,NA
"339","Sobaity seabream",0,"F","Sparidae",NA,NA
"340","Sockeye(=Red) salmon",0,"F","Salmonidae",NA,NA
"341","Soles nei",0,"F","Achiridae",NA,NA
"342","Southern bluefin tuna",0,"F","Scombridae",NA,NA
"343","Spinefeet(=Rabbitfishes) nei",0,"F","Siganidae",NA,NA
"344","Spotted coralgrouper",0,"F","Serranidae",NA,NA
"345","Spotted rose snapper",0,"F","Lutjanidae",NA,NA
"346","Spotted seabass",0,"F","Serranidae",NA,NA
"347","Spotted wolffish",0,"F","Anarhichadidae",NA,NA
"348","Squaretail mullet",0,"F","Mugilidae",NA,NA
"349","Streaked spinefoot",0,"F","Siganidae",NA,NA
"350","Striped bass, hybrid",0,"F","Moronidae",NA,NA
"351","Sturgeons nei",0,"F","Acipenseridae",NA,NA
"352","Tarpon",0,"F","Centropomidae",NA,NA
"353","Thinlip grey mullet",0,"F","Mugilidae",NA,NA
"354","Tiger pufferfish",0,"F","Tetraodontidae",NA,NA
"355","Tilapias nei",1,"F","Cichlidae",NA,NA
"356","Torpedo-shaped catfishes nei",1,"F","Ictaluridae","freshwater",NA
"357","Trumpet emperor",0,"F","Lethrinidae",NA,NA
"358","Turbot",0,"F","Chernetidae",NA,NA
"359","Two-spot red snapper",0,"F","Lutjanidae",NA,NA
"360","Waigieu seaperch",0,"F","Latidae",NA,NA
"361","White seabream",0,"F","Sparidae",NA,NA
"362","White trevally",0,"F","Carangidae",NA,NA
"363","White-spotted spinefoot",0,"F","Siganidae",NA,NA
"364","Whitemouth croaker",0,"F","Sciaenidae",NA,NA
"365","Yellowback seabream",0,"F","Sparidae",NA,NA
"366","Yellowfin seabream",0,"F","Sparidae",NA,NA
"367","Yellowfin tuna",0,"F","Scombridae",NA,NA
"368","Longrayed whiptail",0,"F","Macrouridae",NA,NA
"369","Yellowtail amberjack",0,"F","Carangidae",NA,NA
"370","Beluga",0,"F","Monodontidae",NA,NA
"371","Striped bass",0,"F","Moronidae",NA,NA
"372","Pink dentex",0,"F","Sparidae",NA,NA
"373","Trouts nei",0,"F","Sciaenidae",NA,NA
"374","Pufferfishes nei",0,"F","Tetraodontidae",NA,NA
"375","Emperor red snapper",0,"F","Lutjanidae",NA,NA
"376","Giant trevally",0,"F","Carangidae",NA,NA
"377","Starry sturgeon",0,"F","Acipenseridae",NA,NA
"378","Speckled longfin eel",0,"F","Anguillidae",NA,NA
"379","Malabar blood snapper",0,"F","Lutjanidae",NA,NA
"380","Crimson snapper",0,"F","Lutjanidae",NA,NA
"381","[Oplegnathus fasciatus]",0,"F","Oplegnathidae",NA,NA
"382","Convict grouper",0,"F","Serranidae",NA,NA
"383","Jack and horse mackerels nei",0,"F","Carangidae",NA,NA
"384","Pacific chub mackerel",0,"F","Scombridae",NA,NA
"385","Potato grouper",0,"F","Serranidae",NA,NA
"386","Bluespotted seabream",0,"F","Sparidae",NA,NA
"387","Redbanded seabream",0,"F","Sparidae",NA,NA
"388","Aquatic invertebrates nei",0,"INV","Invertabrates",NA,NA
"389","Marine molluscs nei",0,"GAST","Mollusca",NA,NA
"390","[Trochita spp]",1,"GAST","Calyptraeidae",NA,NA
"391","Japanese sea cucumber",0,"NS-INV","Stichopodidae",NA,NA
"392","Jellyfishes nei",0,"NS-INV","Cassiopeidae",NA,NA
"393","Sand fish",1,"NS-INV","Holothuriidae",NA,NA
"394","Sandfish",1,"NS-INV","Trichodontidae",NA,NA
"395","Sea cucumbers nei",0,"NS-INV","Cucumriidae",NA,NA
"396","American bull frog",0,"OTHER","Ranidae",NA,NA
"397","Green turtle",1,"OTHER","Cheloniidae","freshwater/not eaten",NA
"398","Akiami paste shrimp",0,"SH","Sergestidae",NA,NA
"399","Atlantic ditch shrimp",0,"SH","Palaemonidae",NA,NA
"400","Baltic prawn",0,"SH","Palaemonidae",NA,NA
"401","Banana prawn",0,"SH","Penaeidae",NA,NA
"402","Blue shrimp",0,"SH","Penaeidae",NA,NA
"403","Brine shrimp",0,"SH","Artemiidae",NA,NA
"404","Brine shrimps nei",0,"SH","Artemiidae",NA,NA
"405","Brown tiger prawn",0,"SH","Penaeidae",NA,NA
"406","Caramote prawn",0,"SH","Penaeidae",NA,NA
"407","Common prawn",0,"SH","Palaemonidae",NA,NA
"408","Eastern king prawn",0,"SH","Penaeidae",NA,NA
"409","Eastern school shrimp",0,"SH","Penaeidae",NA,NA
"410","Fleshy prawn",0,"SH","Penaeidae",NA,NA
"411","Giant river prawn",1,"SH","Palaemonidae","freshwater",NA
"412","Giant tiger prawn",0,"SH","Penaeidae",NA,NA
"413","Greasyback shrimp",0,"SH","Penaeidae",NA,NA
"414","Green tiger prawn",0,"SH","Penaeidae",NA,NA
"415","Indian white prawn",0,"SH","Penaeidae",NA,NA
"416","Kuruma prawn",0,"SH","Penaeidae",NA,NA
"417","Northern white shrimp",0,"SH","Penaeidae",NA,NA
"418","Palaemonid shrimps nei",0,"SH","Palaemonidae",NA,NA
"419","Penaeus shrimps nei",0,"SH","Penaeidae",NA,NA
"420","Redtail prawn",0,"SH","Penaeidae",NA,NA
"421","Southern white shrimp",0,"SH","Penaeidae",NA,NA
"422","Speckled shrimp",0,"SH","Penaeidae",NA,NA
"423","Whiteleg shrimp",0,"SH","Penaeidae",NA,NA
"424","Red bait",0,"TUN","Pyuridae",NA,NA
"425","Sea squirts nei",0,"TUN","Pyuridae",NA,NA
"426","Red oyas",0,"TUN","Pyuridae",NA,NA
"427","Sea urchins nei",0,"URCH","Strongylocentrotidae",NA,NA
"428","Stony sea urchin",0,"URCH","Parechinidae",NA,NA
"429","Paintpot cuttlefish",0,"CEPH","Sepiidae",NA,NA
"430","[Rhopilema esculentum]",0,"NS-INV","Rhizostomatidae",NA,NA
"431","Squillids nei",0,"SH","Squillidae",NA,NA
"432","Golden-lined spinefoot",0,"F","Siganidae",NA,NA
"433","Mottled spinefoot",0,"F","Siganidae",NA,NA
"434","[Macrocystis integrifolia]",0.001,"AL","Algae","seaweed: human food/alginates","- food use determined https://www.centralcoastbiodiversity.org/giant-perennial-kelp-bull-macrocystis-integrifolia.html
 - 1% proportion determined by best guess."
"435","Corrugated venus",0,"BI","Veneridae",NA,NA
"436","Purple dye murex",0,"GAST","Muricidae",NA,NA
"437","Southern red snapper",0,"F","Lutjanidae",NA,NA
"438","Atl.jackknife(=Atl.razor clam)",0,"BI","Pharidae",NA,NA
"439","[Cladosiphon okamuranus]",0.1,"AL","Algae","seaweed: human food/medicine","- food use determined https://en.wikipedia.org/wiki/Cladosiphon_okamuranus - sometimes used to treat cancer"
"440","[Eucheuma isiforme]",0.8,"AL","Solieriaceae","seaweed: human food/cosmetics/food processing","- non-food use determined using Wikipedia"
"441","Spotted scat",0,"F","Scatophagidae",NA,NA
"442","Red cusk-eel",1,"F","Ophidiidae",NA,NA
"443","Marine worms",1,"GAST","Lineidae",NA,NA
"444","Silver grunt",0,"F","Haemulidae",NA,NA
"445","Leister",1,"OTHER",NA,NA,NA
"446","[Scylla spp]",0.9,"GAST","Scyllaeidae","genus of nudibranchs","While some non-scientific sources mentioned that some people in the world [eat nudibranchs](https://atmosphereresorts.com/10-things-you-did-not-know-about-nudibranchs/#:~:text=Some%20humans%20actually%20eat%20nudibranchsas%20%E2%80%9Cchewing%20an%20eraser.%E2%80%9D) or sea slugs it doesn't seem like a prominent industry so I will estimate the exclusion value as 0.9"
"447","Skottsberg's gigartina",0.75,"AL","Algae","seaweed: agar/carrageenan/human food","- non-food and food use determined using FAO (red algae in Indonesia and Portugal mostly agar-containing seaweeds) (The main uses of red seaweeds are as food and as sources of two hydrocolloids: agar and carrageenan):http://www.fao.org/3/a-y4765e.pdf"
"448","[Mystus nigriceps]",1,"F","Bagridae","freshwater",NA
"449","[Polymesoda spp]",0,"BI","Cyrenidae",NA,NA
"450","Banded grouper",0,"F","Serranidae",NA,NA
"451","Barred-chest grouper",0,"F","Serranidae",NA,NA
"452","Black jack",0,"F","Carangidae",NA,NA
"453","Black pomfret",0,"F","Carangidae",NA,NA
"454","Blackbanded trevally",0,"F","Carangidae",NA,NA
"455","Blacksaddled coralgrouper",0,"F","Serranidae",NA,NA
"456","Blacktail snapper",0,"F","Lutjanidae",NA,NA
"457","Bludger",0,"F","Carangidae",NA,NA
"458","Blue sea chub",0,"F","Kyphosidae",NA,NA
"459","Bluefin trevally",0,"F","Carangidae",NA,NA
"460","Bluespotted trevally",1,"F","Carangidae",NA,"excluded because poisonous and mainly caught as bycatch"
"461","Blunt slipper lobster",0,"CRUST","Scylaridae",NA,NA
"462","Brassy trevally",0,"F","Carangidae",NA,NA
"463","Cachama",1,"F","Serrasalmidae","freshwater",NA
"464","Climbing perch",1,"F","Anabantidae","freshwater",NA
"465","Deep-water redfish",0,"F","Scorpaenidae",NA,NA
"466","Deepwater longtail red snapper",0,"F","Lutjanidae",NA,NA
"467","Duskytail grouper",0,"F","Serranidae",NA,NA
"468","Foursaddle grouper",0,"F","Serranidae",NA,NA
"469","Giant gourami",1,"F","Osphronemidae","freshwater",NA
"470","Green sea feather",0.2,"AL","Caulerpaceae","used as food and medicine","- food use determined https://sealifebase.nrm.se/summary/Caulerpa-sertularioides.html"
"471","Greenback mullet",0,"F","Mugilidae",NA,NA
"472","Harry hotlips",0,"F","Haemulidae",NA,NA
"473","Hawaiian ladyfish",0,"F","Elopidae",NA,NA
"474","Highfin coralgrouper",0,"F","Serranidae",NA,NA
"475","Highfin grouper",0,"F","Serranidae",NA,NA
"476","Humphead snapper",0,"F","Lutjanidae",NA,NA
"477","Jawla paste shrimp",0,"SH","Sergestidae",NA,NA
"478","Leopard coralgrouper",0,"F","Serranidae",NA,NA
"479","Longfin trevally",0,"F","Carangidae",NA,NA
"480","Longlegged spiny lobster",0,"CRUST","Palinuridae",NA,NA
"481","Longnose trevally",0,"F","Carangidae",NA,NA
"482","Longspine grouper",0,"F","Serranidae",NA,NA
"483","Masked grouper",0,"F","Serranidae",NA,NA
"484","Minstrel sweetlips",0,"F","Haemulidae",NA,NA
"485","Northern velvet shrimp",0,"SH","Penaeidae",NA,NA
"486","Pangas catfish",1,"F","Pangasiidae",NA,"excluded because it is primarily freshwater though can be brackish"
"487","Philippine catfish",0,"F","Clariidae",NA,NA
"488","Scalloped spiny lobster",0,"CRUST","Palinuridae",NA,NA
"489","Small-scaled terapon",0,"F","Terapontidae",NA,NA
"490","Speckled blue grouper",0,"F","Serranidae",NA,NA
"491","Spotty-face anchovy",0,"F","Engraulidae",NA,NA
"492","Squaretail coralgrouper",0,"F","Serranidae",NA,NA
"493","Striped snakehead",0,"F","Channidae",NA,NA
"494","White-edged lyretail",0,"F","Serranidae",NA,NA
"495","Yellowspotted trevally",0,"F","Carangidae",NA,NA
"496","[Pomadasys spp]",0,"F","Haemulidae",NA,NA
"497","Barcoo grunter",1,"F","Terapontidae","freshwater",NA
"498","Blacktip grouper",0,"F","Serranidae",NA,NA
"499","Commercial top",1,"GAST","Tegulidae",NA,"excluded because it is primarily harvested for its shell, though it can be eaten https://en.wikipedia.org/wiki/Rochia_nilotica"
"500","Desert dace",1,"F","Cyprinidae","freshwater",NA
"501","SOLIERIACEAE",0.75,"AL","Algae",NA,"- used red seaweed include value"
"502","BANGIACEAE",0.01,"AL","Algae",NA,"- food use determined, wikipedia mentions wide food use https://en.wikipedia.org/wiki/Bangiaceae"
"503","RHIZOSTOMIDAE",0,"NS-INV","Rhizostomatidae",NA,NA
"504","BAGRIDAE",1,"F","Bagridae","primarily freshwater",NA
"505","CORBICULIDAE",0,"BI","Corbiculiade",NA,NA
"506","SARGASSACEAE",0.9,"AL","Algae",NA,"- used sargassum spp value"
"507","MUGILIDAE",0,"F","Mugilidae",NA,NA
